FLOOR,TIER,GROUP,TYPE,DIFFICULTY,DESCRIPTION,VARIABLE A,VARIABLE B,XP REW,COIN REW,ENABLED
Favoritism,4,Deliver,Single,Medium,In one game deliver 10 VIPs,10,-,0,400,1
Favoritism,5,Deliver,Single,Hard,In one game deliver 16 VIPs,16,-,0,800,1
Marathon,1,Lift,Total,Easy,Move the elevator 60 m in total,60,-,0,100,1
Marathon,2,Lift,Total,Easy,Move the elevator 80 m in total,80,-,0,150,1
Marathon,3,Lift,Total,Medium,Move the elevator 160 m in total,160,-,0,200,1
Marathon,4,Lift,Total,Medium,Move the elevator 200 m in total,200,-,0,250,1
Marathon,5,Lift,Total,Hard,Move the elevator 400 m in total,400,-,0,500,1
RPM,1,Lift,Single,Easy,In one game move the elevator 40 m,40,-,0,150,1
RPM,2,Lift,Single,Easy,In one game move the elevator 50 m,50,-,0,200,1
RPM,3,Lift,Single,Medium,In one game move the elevator 80 m,80,-,0,300,1
RPM,4,Lift,Single,Medium,In one game move the elevator 100 m,100,-,0,400,1
RPM,5,Lift,Single,Hard,In one game move the elevator 220 m,220,-,0,800,1
Power Nap,1,Feat,Single,Easy,In one game stay on Floor X for 5 sec,5,X,0,100,1
Power Nap,2,Feat,Single,Easy,In one game stay on Floor X for 6 sec,6,X,0,150,1
Power Nap,3,Feat,Single,Medium,In one game stay on Floor X for 10 sec,10,X,0,200,1
Power Nap,4,Feat,Single,Medium,In one game stay on Floor X for 12 sec,12,X,0,250,1
Power Nap,5,Feat,Single,Hard,In one game stay on Floor X for 20 sec,20,X,0,500,1
Supplements,1,Powers,Total,Easy,Use 2 Powerups,2,-,0,150,1
Supplements,2,Powers,Total,Easy,Use 4 Powerups,4,-,0,200,1
Supplements,3,Powers,Total,Medium,Use 6 Powerups,6,-,0,300,1
Supplements,4,Powers,Total,Medium,Use 8 Powerups,8,-,0,400,1
Supplements,5,Powers,Total,Hard,Use 14 Powerups,14,-,0,800,1
Straight edge,1,Powers,Total,Easy,Complete 2 games without Powerups,2,-,0,100,1
Straight edge,2,Powers,Total,Easy,Complete 3 games without Powerups,3,-,0,150,1
Straight edge,3,Powers,Total,Medium,Complete 4 games without Powerups,4,-,0,200,1
Straight edge,4,Powers,Total,Medium,Complete 6 games without Powerups,6,-,0,250,1
Straight edge,5,Powers,Total,Hard,Complete 8 games without Powerups,8,-,0,500,1
Hardwork,1,Record,Total,Easy,Accumulate 2000 score,2000,-,0,100,1
Hardwork,2,Record,Total,Easy,Accumulate 2200 score,2200,-,0,150,1
Hardwork,3,Record,Total,Medium,Accumulate 4000 score,4000,-,0,200,1
Hardwork,4,Record,Total,Medium,Accumulate 4400 score,4400,-,0,250,1
Hardwork,5,Record,Total,Hard,Accumulate 8000 score,8000,-,0,500,1
Prodigy,1,Record,Single,Easy,In one game reach 750 score,750,-,0,150,1
Prodigy,2,Record,Single,Easy,In one game reach 800 score,800,-,0,200,1
Prodigy,3,Record,Single,Medium,In one game reach 1500 score,1500,-,0,380,1
Prodigy,4,Record,Single,Medium,In one game reach 1600 score,1600,-,0,450,1
Prodigy,5,Record,Single,Hard,In one game reach 2200 score,2200,-,0,1000,1
Intervention,1,Feat,Total,Easy,Stop 2 events before they run out,2,-,0,150,1
Intervention,2,Feat,Total,Easy,Stop 3 events before they run out,3,-,0,200,1
Intervention,3,Feat,Total,Medium,Stop 5 events before they run out,5,-,0,300,1
Intervention,4,Feat,Total,Medium,Stop 6 events before they run out,6,-,0,400,1
Intervention,5,Feat,Total,Hard,Stop 10 events before they run out,10,-,0,800,1
Eureka!,1,Deliver,Total,Easy,Deliver 3 Scientists,3,-,0,100,1
Eureka!,2,Deliver,Total,Easy,Deliver 4 Scientists,4,-,0,150,1
Eureka!,3,Deliver,Total,Medium,Deliver 6 Scientists,6,-,0,200,1
Eureka!,4,Deliver,Total,Medium,Deliver 8 Scientists,8,-,0,250,1
Eureka!,5,Deliver,Total,Hard,Deliver 14 Scientists,14,-,0,500,1
Molten Core!,1,Deliver,Total,Easy,Deliver 3 Repairmen,3,-,0,100,1
Molten Core!,2,Deliver,Total,Easy,Deliver 4 Repairmen,4,-,0,150,1
Molten Core!,3,Deliver,Total,Medium,Deliver 6 Repairmen,6,-,0,200,1
Molten Core!,4,Deliver,Total,Medium,Deliver 8 Repairmen,8,-,0,250,1
Molten Core!,5,Deliver,Total,Hard,Deliver 14 Repairmen,14,-,0,500,1
Steady,1,Lift,Total,Easy,Get 6 Perfect elevator stops,6,-,0,100,1
Steady,2,Lift,Total,Easy,Get 8 Perfect elevator stops,8,-,0,150,1
Steady,3,Lift,Total,Medium,Get 12 Perfect elevator stops,12,-,0,200,1
Steady,4,Lift,Total,Medium,Get 16 Perfect elevator stops,16,-,0,250,1
Steady,5,Lift,Total,Hard,Get 22 Perfect elevator stops,22,-,0,500,1
Pinpoint,1,Lift,Single,Easy,In one game get 3 Perfect elevator stops,3,-,0,150,1
Pinpoint,2,Lift,Single,Easy,In one game get 4 Perfect elevator stops,4,-,0,200,1
Pinpoint,3,Lift,Single,Medium,In one game get 6 Perfect elevator stops,6,-,0,300,1
Pinpoint,4,Lift,Single,Medium,In one game get 8 Perfect elevator stops,8,-,0,400,1
Pinpoint,5,Lift,Single,Hard,In one game get 12 Perfect elevator stops,12,-,0,800,1
Spotless,1,Lift,Single,Easy,In one game have no 'Meh' elevator stops for 5 sec,5,-,0,100,1
Spotless,2,Lift,Single,Easy,In one game have no 'Meh' elevator stops for 6 sec,6,-,0,150,1
Spotless,3,Lift,Single,Medium,In one game have no 'Meh' elevator stops for 10 sec,10,-,0,200,1
Spotless,4,Lift,Single,Medium,In one game have no 'Meh' elevator stops for 12 sec,12,-,0,250,1
Spotless,5,Lift,Single,Hard,In one game have no 'Meh' elevator stops for 20 sec,20,-,0,500,1
